Year,Country,Link,Voted For,Juror A,Juror B,Juror C,Juror D,Juror E,Jury,Televoting,Jury points,Televoting points,Jury rank,Televoting rank
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Estonia,7,22,19,19,16,15th,23rd,0,0,15,23
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Finland,20,18,11,21,15,20th,21st,0,0,20,21
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,France,13,15,17,14,4,13th,6 points 5th,0,6,13,5
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Georgia,14,10,16,18,22,18th,13th,0,0,18,13
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Germany,18,17,15,13,10,16th,16th,0,0,16,16
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Greece,5,2,12,8,3,7 points 4th,4 points 7th,7,4,4,7
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Ireland,19,21,13,3,17,12th,11th,0,0,12,11
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Israel,22,24,26,22,12,23rd,10 points 2nd,0,10,23,2
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Italy,3,6,3,1,2,10 points 2nd,8 points 3rd,10,8,2,3
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Latvia,16,13,21,23,18,22nd,24th,0,0,22,24
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Lithuania,21,12,20,15,23,21st,19th,0,0,21,19
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Luxembourg,6,20,4,6,11,4 points 7th,22nd,4,0,7,22
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Norway,11,19,2,4,6,6 points 5th,15th,6,0,5,15
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Portugal,2,4,10,10,13,5 points 6th,20th,5,0,6,20
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Serbia,8,7,9,9,14,1 point 10th,2 points 9th,1,2,10,9
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Slovenia,10,5,7,11,20,2 points 9th,17th,2,0,9,17
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Spain,23,23,18,26,25,25th,14th,0,0,25,14
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Sweden,12,14,23,12,26,19th,12th,0,0,19,12
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Switzerland,1,1,1,2,5,12 points 1st,3 points 8th,12,3,1,8
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,Ukraine,17,11,22,16,9,14th,7 points 4th,0,7,14,4
2024,Albania,https://eurovision.tv/event/malmo-2024/grand-final/results/albania,United Kingdom,15,8,8,25,7,11th,25th,0,0,11,25
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Armenia,14,21,9,14,5,14th,1 point 10th,0,1,14,10
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Austria,12,11,11,18,15,18th,15th,0,0,18,15
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Croatia,3,17,3,7,2,8 points 3rd,10 points 2nd,8,10,3,2
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Cyprus,4,15,10,3,13,6 points 5th,5 points 6th,6,5,5,6
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Estonia,23,25,18,26,8,21st,13th,0,0,21,13
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Finland,24,14,14,5,4,3 points 8th,4 points 7th,3,4,8,7
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,France,25,20,22,13,24,26th,2 points 9th,0,2,26,9
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Georgia,2,22,21,16,16,12th,24th,0,0,12,24
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Germany,11,6,25,6,18,13th,19th,0,0,13,19
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Greece,10,12,6,25,23,16th,3 points 8th,0,3,16,8
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Ireland,1,3,2,2,1,12 points 1st,8 points 3rd,12,8,1,3
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Israel,20,8,24,11,26,20th,12 points 1st,0,12,20,1
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Italy,6,2,7,20,11,7 points 4th,14th,7,0,4,14
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Latvia,21,24,23,23,12,25th,21st,0,0,25,21
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Lithuania,19,10,16,19,22,22nd,12th,0,0,22,12
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Luxembourg,15,5,4,15,19,2 points 9th,16th,2,0,9,16
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Norway,7,23,26,21,10,17th,18th,0,0,17,18
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Portugal,5,19,13,10,14,15th,23rd,0,0,15,23
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Serbia,9,16,15,12,25,19th,22nd,0,0,19,22
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Slovenia,17,18,20,17,17,23rd,25th,0,0,23,25
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Spain,22,13,19,22,21,24th,11th,0,0,24,11
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Sweden,18,4,8,8,6,5 points 6th,20th,5,0,6,20
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Switzerland,8,1,12,1,3,10 points 2nd,7 points 4th,10,7,2,4
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,Ukraine,16,9,17,4,9,1 point 10th,6 points 5th,1,6,10,5
2024,Australia,https://eurovision.tv/event/malmo-2024/grand-final/results/australia,United Kingdom,13,7,5,9,7,4 points 7th,17th,4,0,7,17
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Armenia,6,3,10,4,20,7 points 5th,3 points 8th,7,3,5,8
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Croatia,2,7,4,19,5,8 points 3rd,12 points 1st,8,12,3,1
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Cyprus,22,23,15,23,23,23rd,16th,0,0,23,16
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Estonia,8,13,12,8,4,2 points 10th,12th,2,0,10,12
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Finland,15,24,17,9,6,15th,11th,0,0,15,11
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,France,9,9,8,3,9,5 points 7th,6 points 5th,5,6,7,5
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Georgia,24,17,18,13,25,21st,19th,0,0,21,19
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Germany,11,4,20,15,12,13th,4 points 7th,0,4,13,7
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Greece,18,8,22,14,8,16th,13th,0,0,16,13
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Ireland,13,18,7,2,19,3 points 9th,2 points 9th,3,2,9,9
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Israel,10,16,16,10,18,18th,10 points 2nd,0,10,18,2
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Italy,3,2,2,12,17,10 points 2nd,1 point 10th,10,1,2,10
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Latvia,20,14,24,25,15,22nd,15th,0,0,22,15
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Lithuania,14,11,5,17,16,14th,18th,0,0,14,18
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Luxembourg,23,12,21,11,14,19th,20th,0,0,19,20
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Norway,19,25,11,21,1,1 point 11th,21st,1,0,11,21
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Portugal,17,15,23,6,21,17th,24th,0,0,17,24
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Serbia,21,19,25,18,24,24th,5 points 6th,0,5,24,6
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Slovenia,25,21,19,22,22,25th,22nd,0,0,25,22
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Spain,4,20,9,16,3,4 points 8th,14th,4,0,8,14
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Sweden,12,5,14,20,7,12th,17th,0,0,12,17
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Switzerland,1,1,1,1,2,12 points 1st,8 points 3rd,12,8,1,3
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,Ukraine,5,10,6,5,11,6 points 6th,7 points 4th,6,7,6,4
2024,Austria,https://eurovision.tv/event/malmo-2024/grand-final/results/austria,United Kingdom,16,22,13,24,13,20th,23rd,0,0,20,23
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Armenia,26,24,26,26,26,26th,25th,0,0,26,25
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Austria,14,20,20,9,16,20th,21st,0,0,20,21
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Croatia,4,1,13,24,17,4 points 7th,12 points 1st,4,12,7,1
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Cyprus,10,19,6,8,6,2 points 9th,6 points 5th,2,6,9,5
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Estonia,25,15,17,13,22,23rd,17th,0,0,23,17
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Finland,22,18,18,20,20,25th,20th,0,0,25,20
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,France,15,6,12,23,8,15th,2 points 9th,0,2,15,9
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Georgia,1,21,22,2,9,7 points 4th,5 points 6th,7,5,4,6
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Germany,24,13,16,4,14,16th,14th,0,0,16,14
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Greece,5,11,24,15,19,17th,1 point 10th,0,1,17,10
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Ireland,7,3,2,25,2,10 points 2nd,4 points 7th,10,4,2,7
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Israel,11,23,14,5,7,12th,7 points 4th,0,7,12,4
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Italy,3,4,21,18,4,6 points 5th,3 points 8th,6,3,5,8
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Latvia,23,16,25,14,21,24th,22nd,0,0,24,22
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Lithuania,21,12,15,11,23,21st,11th,0,0,21,11
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Luxembourg,2,14,9,1,13,8 points 3rd,15th,8,0,3,15
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Norway,18,10,10,17,5,14th,12th,0,0,14,12
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Portugal,12,8,11,7,10,11th,24th,0,0,11,24
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Serbia,13,17,7,19,11,19th,18th,0,0,19,18
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Slovenia,17,22,3,22,3,3 points 8th,23rd,3,0,8,23
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Spain,9,26,23,12,25,22nd,16th,0,0,22,16
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Sweden,19,5,4,3,12,5 points 6th,13th,5,0,6,13
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Switzerland,16,2,1,21,1,12 points 1st,10 points 2nd,12,10,1,2
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,Ukraine,8,7,8,10,15,1 point 10th,8 points 3rd,1,8,10,3
2024,Azerbaijan,https://eurovision.tv/event/malmo-2024/grand-final/results/azerbaijan,United Kingdom,6,25,5,16,18,13th,19th,0,0,13,19
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Armenia,10,6,15,8,13,12th,5 points 6th,0,5,12,6
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Austria,12,23,9,11,7,13th,14th,0,0,13,14
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Croatia,20,24,24,25,9,18th,8 points 3rd,0,8,18,3
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Cyprus,23,19,23,16,25,24th,18th,0,0,24,18
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Estonia,25,25,25,26,26,26th,16th,0,0,26,16
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Finland,7,22,21,21,14,15th,15th,0,0,15,15
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,France,3,1,1,1,1,12 points 1st,10 points 2nd,12,10,1,2
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Georgia,19,21,17,14,20,20th,22nd,0,0,20,22
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Germany,8,3,3,4,6,8 points 3rd,20th,8,0,3,20
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Greece,15,17,20,19,16,19th,4 points 7th,0,4,19,7
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Ireland,1,7,26,15,12,4 points 7th,2 points 9th,4,2,7,9
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Israel,13,5,6,3,8,5 points 6th,12 points 1st,5,12,6,1
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Italy,6,11,4,5,4,7 points 4th,3 points 8th,7,3,4,8
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Latvia,24,18,12,13,18,16th,13th,0,0,16,13
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Lithuania,22,15,19,20,23,23rd,11th,0,0,23,11
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Luxembourg,16,13,13,12,11,14th,1 point 10th,0,1,14,10
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Norway,21,20,18,22,22,25th,21st,0,0,25,21
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Portugal,14,10,5,7,10,2 points 9th,19th,2,0,9,19
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Serbia,17,12,16,17,24,17th,24th,0,0,17,24
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Slovenia,18,16,22,18,21,22nd,25th,0,0,22,25
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Spain,26,26,14,24,15,21st,12th,0,0,21,12
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Sweden,4,9,7,9,17,3 points 8th,17th,3,0,8,17
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Switzerland,2,2,2,2,2,10 points 2nd,6 points 5th,10,6,2,5
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,Ukraine,11,8,10,6,19,1 point 11th,7 points 4th,1,7,11,4
2024,Belgium,https://eurovision.tv/event/malmo-2024/grand-final/results/belgium,United Kingdom,5,4,8,10,5,6 points 5th,23rd,6,0,5,23
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Armenia,16,20,16,9,13,15th,3 points 8th,0,3,15,8
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Austria,18,14,14,23,11,18th,14th,0,0,18,14
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Cyprus,9,15,4,14,12,1 point 10th,16th,1,0,10,16
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Estonia,20,22,24,18,25,24th,4 points 7th,0,4,24,7
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Finland,21,24,17,19,23,23rd,13th,0,0,23,13
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,France,11,3,7,7,10,4 points 7th,6 points 5th,4,6,7,5
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Georgia,19,21,13,25,24,21st,22nd,0,0,21,22
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Germany,13,16,20,20,14,19th,19th,0,0,19,19
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Greece,12,18,11,15,19,16th,11th,0,0,16,11
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Ireland,1,17,3,2,4,8 points 3rd,5 points 6th,8,5,3,6
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Israel,15,9,9,12,15,12th,15th,0,0,12,15
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Italy,7,5,8,6,8,6 points 5th,7 points 4th,6,7,5,4
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Latvia,14,13,15,24,21,20th,21st,0,0,20,21
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Lithuania,23,8,22,16,16,17th,12th,0,0,17,12
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Luxembourg,6,10,10,5,5,5 points 6th,18th,5,0,6,18
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Norway,17,23,19,22,22,22nd,20th,0,0,22,20
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Portugal,3,2,2,1,2,12 points 1st,23rd,12,0,1,23
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Serbia,5,11,18,4,7,3 points 8th,12 points 1st,3,12,8,1
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Slovenia,2,12,1,3,1,10 points 2nd,10 points 2nd,10,10,2,2
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Spain,24,7,23,8,18,13th,17th,0,0,13,17
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Sweden,10,4,5,13,17,2 points 9th,2 points 9th,2,2,9,9
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Switzerland,8,6,12,21,9,11th,1 point 10th,0,1,11,10
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,Ukraine,4,1,6,11,3,7 points 4th,8 points 3rd,7,8,4,3
2024,Croatia,https://eurovision.tv/event/malmo-2024/grand-final/results/croatia,United Kingdom,25,25,25,17,20,25th,24th,0,0,25,24
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Armenia,14,19,16,22,8,15th,4 points 7th,0,4,15,7
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Austria,20,9,13,15,21,16th,16th,0,0,16,16
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Croatia,1,3,1,1,2,12 points 1st,5 points 6th,12,5,1,6
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Estonia,16,25,24,14,22,22nd,21st,0,0,22,21
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Finland,24,23,11,7,23,11th,19th,0,0,11,19
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,France,2,4,2,3,1,10 points 2nd,7 points 4th,10,7,2,4
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Georgia,23,22,19,12,13,19th,12th,0,0,19,12
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Germany,17,15,17,20,9,18th,18th,0,0,18,18
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Greece,7,1,5,5,3,7 points 4th,12 points 1st,7,12,4,1
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Ireland,25,21,21,18,25,25th,2 points 9th,0,2,25,9
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Israel,3,5,3,2,7,8 points 3rd,10 points 2nd,8,10,3,2
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Italy,8,8,9,9,4,3 points 8th,3 points 8th,3,3,8,8
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Latvia,13,20,14,24,24,20th,14th,0,0,20,14
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Lithuania,11,13,20,19,12,17th,11th,0,0,17,11
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Luxembourg,4,10,4,11,14,4 points 7th,13th,4,0,7,13
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Norway,19,17,22,25,15,23rd,22nd,0,0,23,22
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Portugal,12,18,25,23,17,21st,23rd,0,0,21,23
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Serbia,5,14,6,8,6,5 points 6th,17th,5,0,6,17
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Slovenia,22,24,23,13,20,24th,24th,0,0,24,24
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Spain,15,12,15,10,19,12th,15th,0,0,12,15
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Sweden,18,6,12,4,16,2 points 9th,1 point 10th,2,1,9,10
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Switzerland,6,2,7,6,5,6 points 5th,6 points 5th,6,6,5,5
2024,Cyprus,https://eurovision.tv/event/malmo-2024/grand-final/results/cyprus,Ukraine,10,7,8,17,10,1 point 10th,8 points 3rd,1,8,10,3
